bodyparts,Nose,Nose,Nose,EarR,EarR,EarR,EarL,EarL,EarL,Back1,Back1,Back1,Back6,Back6,Back6,Back12,Back12,Back12,Tail1,Tail1,Tail1,Tail6,Tail6,Tail6,Tail12,Tail12,Tail12
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
FrameIdx,,,,,,,,,,,,,,,,,,,,,,,,,,,
150479,268.3954162597656,52.18416976928711,0.9999998807907104,230.2216033935547,69.23809814453125,0.9999967813491821,228.63491821289062,36.01377487182617,0.9999998807907104,225.68418884277344,51.98260498046875,0.9999996423721313,181.92562866210938,50.72528839111328,0.9999960660934448,128.55963134765625,52.03153991699219,0.9999991655349731,122.22445678710938,52.8175048828125,0.9999998807907104,68.97212982177734,52.111446380615234,0.9999194145202637,20.148706436157227,42.885013580322266,0.0322975292801857
150480,271.66558837890625,51.978843688964844,0.9999998807907104,233.4373779296875,68.45173645019531,0.9999978542327881,232.26979064941406,35.33906173706055,0.9999995231628418,229.60403442382812,51.970542907714844,0.9999994039535522,186.57249450683594,50.49461364746094,0.9999967813491821,132.62701416015625,51.173274993896484,0.9999995231628418,126.16484069824219,51.73193359375,0.9999998807907104,73.56725311279297,51.4356575012207,0.9999643564224243,23.809423446655273,39.78538513183594,0.04863155633211136
150481,275.92578125,52.063140869140625,1.0,238.2201690673828,68.6746597290039,0.9999960660934448,236.519775390625,34.62288284301758,0.9999995231628418,233.90151977539062,51.89162063598633,0.9999992847442627,192.31936645507812,50.18278121948242,0.9999948740005493,137.41900634765625,50.90512466430664,0.9999963045120239,130.4420166015625,51.891170501708984,0.9999997615814209,78.44407653808594,51.114322662353516,0.9999619722366333,30.24920654296875,46.73023986816406,0.0637252926826477
150482,279.7372741699219,51.434242248535156,0.9999998807907104,242.0873565673828,68.95651245117188,0.9999979734420776,240.71058654785156,35.346797943115234,0.9999996423721313,238.5389862060547,51.1650505065918,0.9999997615814209,196.62774658203125,49.73472595214844,0.9999978542327881,142.5213165283203,50.47234344482422,0.9999979734420776,135.22064208984375,51.24324417114258,0.9999996423721313,82.06720733642578,50.419715881347656,0.9999879598617554,27.543672561645508,45.00310516357422,0.12929190695285797
150483,284.68353271484375,51.71368408203125,0.9999998807907104,246.88214111328125,68.42053985595703,0.9999963045120239,244.74403381347656,35.429683685302734,0.9999998807907104,241.90528869628906,51.12576675415039,0.9999997615814209,200.6226806640625,48.883609771728516,0.9999958276748657,145.37625122070312,49.978816986083984,0.9999992847442627,139.41671752929688,51.031429290771484,0.9999998807907104,86.06411743164062,49.8638916015625,0.9999847412109375,32.35844802856445,41.97779846191406,0.736842930316925
150484,288.74298095703125,51.43866729736328,0.9999998807907104,249.85789489746094,67.10742950439453,0.9999973773956299,248.05801391601562,34.946990966796875,0.9999992847442627,246.178955078125,51.474056243896484,0.9999994039535522,204.94851684570312,49.06830596923828,0.999996542930603,149.67616271972656,49.14352035522461,0.9999982118606567,143.41746520996094,49.88554382324219,0.9999996423721313,89.26178741455078,48.26145553588867,0.9999940395355225,31.843143463134766,40.05368423461914,0.9877886176109314
150485,293.28167724609375,51.58654022216797,1.0,255.0961456298828,67.6343765258789,0.9999929666519165,252.8488006591797,33.985042572021484,0.9999992847442627,249.8168182373047,51.070858001708984,0.9999988079071045,208.59385681152344,48.4807014465332,0.9999899864196777,154.2882080078125,48.320167541503906,0.9999916553497314,147.2475128173828,50.107749938964844,0.9999984502792358,92.36931610107422,47.89771270751953,0.999993085861206,31.351213455200195,40.10452651977539,0.9988973140716553
150486,297.8409423828125,51.39261245727539,0.9999998807907104,259.9229736328125,68.31752014160156,0.9999970197677612,257.72467041015625,34.84617614746094,0.9999996423721313,255.44015502929688,50.58951950073242,0.9999994039535522,213.8807373046875,47.967735290527344,0.9999794960021973,158.18194580078125,48.31410598754883,0.9999823570251465,151.09852600097656,49.042842864990234,0.9999966621398926,97.32865142822266,47.564910888671875,0.9999920129776001,33.82640075683594,39.968196868896484,0.9998533725738525
150487,302.7575988769531,51.21971130371094,0.9999998807907104,263.63140869140625,67.3242416381836,0.9999946355819702,261.8427734375,35.440120697021484,0.9999996423721313,259.1261901855469,51.05897521972656,0.9999995231628418,218.14920043945312,47.63829803466797,0.9999746084213257,162.51966857910156,48.40802001953125,0.999990701675415,155.29800415039062,48.65282440185547,0.9999984502792358,101.37906646728516,47.53807067871094,0.9999964237213135,36.646583557128906,40.14786148071289,0.9997418522834778
150488,306.7110595703125,51.301353454589844,1.0,267.95611572265625,67.14911651611328,0.9999973773956299,266.8933410644531,34.37826919555664,0.9999994039535522,263.9730224609375,51.366790771484375,0.9999973773956299,222.31211853027344,47.97394943237305,0.9999895095825195,167.68215942382812,49.285552978515625,0.9999932050704956,159.65577697753906,49.025184631347656,0.9999991655349731,104.59428405761719,47.61705780029297,0.999991774559021,38.06630325317383,39.29785919189453,0.9995884299278259
