bodyparts,Nose,Nose,Nose,EarR,EarR,EarR,EarL,EarL,EarL,ForepawToeR,ForepawToeR,ForepawToeR,ForepawToeL,ForepawToeL,ForepawToeL,HindpawToeR,HindpawToeR,HindpawToeR,HindpawToeL,HindpawToeL,HindpawToeL
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
FrameIdx,,,,,,,,,,,,,,,,,,,,,
150535,182.49632263183594,172.10501098632812,1.0,128.0810089111328,94.48596954345703,1.0,213.6217041015625,83.52706909179688,1.0,146.51028442382812,180.3767852783203,0.9999960660934448,205.88116455078125,193.91688537597656,1.0,126.41439056396484,185.0642547607422,1.0,218.3259735107422,189.8121795654297,0.9999953508377075
150536,183.03533935546875,174.14358520507812,1.0,130.10986328125,94.53023529052734,1.0,215.92665100097656,85.67051696777344,1.0,148.70233154296875,179.45457458496094,0.9999998807907104,205.79855346679688,194.77064514160156,1.0,126.44206237792969,185.3591766357422,1.0,218.57949829101562,190.06520080566406,0.9999984502792358
150537,183.21066284179688,175.4544219970703,1.0,130.62429809570312,94.59526824951172,1.0,218.33131408691406,87.2765121459961,1.0,148.0616455078125,180.8507080078125,0.9999997615814209,205.79537963867188,195.33486938476562,1.0,125.7876205444336,186.09361267089844,1.0,218.754638671875,189.44827270507812,0.9999995231628418
150538,184.4357147216797,175.0596160888672,1.0,132.12379455566406,94.36359405517578,1.0,220.27603149414062,87.53404998779297,1.0,147.7478485107422,180.98634338378906,1.0,205.9973907470703,195.23452758789062,1.0,126.02922821044922,186.35986328125,1.0,218.29136657714844,189.4751739501953,0.9999984502792358
150539,186.20774841308594,175.5041046142578,1.0,133.1033935546875,94.39522552490234,1.0,220.5224609375,87.06143951416016,1.0,148.84434509277344,178.9257354736328,1.0,205.95980834960938,195.78439331054688,1.0,126.06714630126953,186.06668090820312,1.0,218.24038696289062,189.71595764160156,0.9999982118606567
150540,188.16529846191406,175.2506561279297,1.0,133.5023193359375,94.54689025878906,1.0,221.0668182373047,86.30792236328125,1.0,151.0453643798828,178.8582305908203,0.9999998807907104,206.06814575195312,195.00424194335938,1.0,125.51097106933594,185.78701782226562,1.0,218.14442443847656,189.9288330078125,0.9999951124191284
150541,190.31263732910156,175.05760192871094,1.0,134.0530548095703,95.40194702148438,1.0,222.2841339111328,84.82149505615234,1.0,153.8769073486328,178.2144012451172,0.9999998807907104,206.63909912109375,195.29685974121094,1.0,126.06614685058594,186.82745361328125,0.9999998807907104,218.01107788085938,189.8949432373047,0.9999932050704956
150542,191.0476837158203,174.60696411132812,1.0,135.52479553222656,95.32861328125,1.0,223.08889770507812,83.88556671142578,1.0,156.75485229492188,178.93711853027344,1.0,206.7063751220703,195.40792846679688,1.0,126.43577575683594,186.19993591308594,0.9999998807907104,218.50018310546875,189.19300842285156,0.9999977350234985
150543,191.849365234375,174.52978515625,1.0,136.40406799316406,94.67137908935547,1.0,223.5126953125,82.77799987792969,1.0,158.86363220214844,180.89559936523438,1.0,206.31390380859375,195.50791931152344,1.0,126.644775390625,185.81361389160156,1.0,217.92892456054688,188.0528106689453,0.9999995231628418
150544,191.82626342773438,174.289306640625,1.0,136.4048614501953,93.88713073730469,1.0,223.06399536132812,81.74699401855469,1.0,160.35906982421875,179.60670471191406,1.0,206.7584686279297,195.43606567382812,1.0,125.99623107910156,185.896240234375,1.0,218.07420349121094,188.382568359375,0.9999996423721313
